part_index,wav,wsjt_run1,wsjt_run2,wsjt_run3,owsfz_run1,owsfz_run2,owsfz_run3
0,260706_212315.wav,2.0,3.0,4.0,-4.0,-4.0,-4.0
1,260706_212315.wav,3.0,4.0,3.0,-7.0,-7.0,-7.0
2,260706_212315.wav,9.0,11.0,11.0,0.0,0.0,0.0
3,260706_212315.wav,11.0,11.0,11.0,5.0,6.0,6.0
4,260706_212315.wav,-9.0,-8.0,-8.0,-13.0,-13.0,-13.0
5,260706_212315.wav,-2.0,-3.0,-3.0,-7.0,-7.0,-6.0
6,260706_212315.wav,-3.0,-3.0,-3.0,-9.0,-9.0,-9.0
7,260706_212315.wav,6.0,8.0,8.0,4.0,4.0,4.0
8,260706_212315.wav,-5.0,-4.0,-4.0,-5.0,-5.0,-5.0
9,260706_212315.wav,17.0,17.0,17.0,-6.0,-5.0,-5.0
10,260706_212315.wav,1.0,0.0,0.0,-7.0,-6.0,-6.0
11,260706_214615.wav,10.0,10.0,10.0,5.0,5.0,5.0
12,260706_214615.wav,-3.0,-4.0,-4.0,-9.0,-10.0,-10.0
13,260706_214615.wav,9.0,8.0,8.0,-6.0,-8.0,-8.0
14,260706_214615.wav,8.0,9.0,9.0,7.0,7.0,7.0
15,260706_214615.wav,14.0,15.0,15.0,11.0,12.0,12.0
16,260706_214615.wav,13.0,14.0,15.0,7.0,7.0,7.0
17,260706_214615.wav,8.0,7.0,7.0,6.0,6.0,6.0
18,260706_214615.wav,-9.0,-9.0,-9.0,-14.0,-14.0,-13.0
19,260706_214615.wav,-3.0,-2.0,-2.0,-5.0,-6.0,-5.0
20,260706_214615.wav,-3.0,-2.0,-2.0,-4.0,-4.0,-4.0
21,260706_214615.wav,12.0,13.0,13.0,8.0,7.0,7.0
22,260706_214615.wav,1.0,1.0,1.0,-3.0,-4.0,-3.0
23,260706_214615.wav,10.0,10.0,10.0,4.0,3.0,3.0
24,260706_214615.wav,2.0,3.0,3.0,-4.0,-3.0,-3.0
25,260706_214615.wav,1.0,1.0,1.0,3.0,3.0,3.0
26,260706_214615.wav,20.0,23.0,25.0,8.0,7.0,7.0
27,260706_220100.wav,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0
28,260706_220100.wav,9.0,9.0,9.0,7.0,7.0,7.0
29,260706_220100.wav,11.0,15.0,16.0,-4.0,-4.0,-4.0
30,260706_220100.wav,14.0,14.0,14.0,14.0,15.0,15.0
31,260706_220100.wav,-12.0,-11.0,-11.0,-19.0,-19.0,-19.0
32,260706_220100.wav,4.0,5.0,5.0,7.0,7.0,7.0
33,260706_220100.wav,9.0,12.0,12.0,3.0,4.0,4.0
34,260706_220100.wav,-8.0,-6.0,-6.0,-10.0,-10.0,-10.0
35,260706_220100.wav,-9.0,-7.0,-7.0,-11.0,-11.0,-11.0
36,260706_220100.wav,-12.0,-12.0,-12.0,-11.0,-11.0,-11.0
37,260706_220100.wav,8.0,9.0,9.0,11.0,11.0,11.0
38,260706_220100.wav,10.0,10.0,10.0,6.0,6.0,6.0
39,260706_220100.wav,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0
40,260706_220100.wav,-15.0,-15.0,-16.0,-14.0,-14.0,-14.0
41,260706_220100.wav,-14.0,-14.0,-14.0,-13.0,-13.0,-13.0
42,260706_220730.wav,-9.0,-10.0,-10.0,-14.0,-14.0,-14.0
43,260706_220730.wav,8.0,8.0,8.0,5.0,5.0,5.0
44,260706_220730.wav,21.0,18.0,20.0,7.0,8.0,8.0
45,260706_220730.wav,8.0,8.0,7.0,3.0,4.0,4.0
46,260706_220730.wav,7.0,7.0,7.0,5.0,5.0,5.0
47,260706_220730.wav,1.0,2.0,1.0,0.0,-1.0,-1.0
48,260706_220730.wav,26.0,26.0,26.0,21.0,21.0,20.0
49,260706_220730.wav,-3.0,-4.0,-4.0,-9.0,-9.0,-9.0
50,260706_220730.wav,-1.0,-3.0,-2.0,-14.0,-15.0,-15.0
51,260706_220730.wav,20.0,20.0,19.0,7.0,6.0,4.0
52,260706_220730.wav,17.0,13.0,15.0,-4.0,-4.0,-4.0
53,260706_220730.wav,-2.0,-2.0,-2.0,-8.0,-8.0,-7.0
54,260706_220730.wav,12.0,12.0,11.0,5.0,5.0,6.0
55,260706_221415.wav,4.0,3.0,5.0,-5.0,-5.0,-5.0
56,260706_221415.wav,8.0,6.0,10.0,1.0,1.0,1.0
57,260706_221415.wav,-13.0,-14.0,-13.0,-19.0,-19.0,-19.0
58,260706_221415.wav,-3.0,-2.0,-3.0,-4.0,-5.0,-4.0
59,260706_221415.wav,12.0,10.0,16.0,2.0,2.0,2.0
60,260706_221415.wav,6.0,6.0,6.0,4.0,4.0,3.0
61,260706_221415.wav,16.0,16.0,17.0,11.0,12.0,13.0
62,260706_221415.wav,-12.0,-12.0,-11.0,-12.0,-11.0,-11.0
63,260706_221845.wav,-3.0,-4.0,-4.0,-7.0,-7.0,-7.0
64,260706_221845.wav,19.0,22.0,21.0,12.0,12.0,12.0
65,260706_221845.wav,16.0,24.0,20.0,5.0,5.0,5.0
66,260706_221845.wav,1.0,0.0,1.0,-1.0,-1.0,-1.0
67,260706_221845.wav,-9.0,-8.0,-9.0,-15.0,-14.0,-14.0
68,260706_221845.wav,2.0,2.0,2.0,-8.0,-8.0,-8.0
69,260706_221845.wav,8.0,8.0,8.0,1.0,1.0,1.0
70,260706_221845.wav,16.0,19.0,18.0,8.0,8.0,8.0
71,260706_221845.wav,-2.0,-2.0,-1.0,-5.0,-5.0,-5.0
72,260706_221845.wav,-1.0,0.0,0.0,-4.0,-4.0,-4.0
73,260706_221845.wav,-1.0,-1.0,-1.0,-13.0,-13.0,-13.0
74,260706_221845.wav,7.0,6.0,6.0,-3.0,-3.0,-3.0
75,260706_221845.wav,9.0,9.0,8.0,-3.0,-3.0,-3.0
76,260706_224000.wav,-8.0,-9.0,-9.0,-9.0,-9.0,-9.0
77,260706_224000.wav,10.0,9.0,9.0,4.0,4.0,4.0
78,260706_224000.wav,-1.0,-1.0,-1.0,-5.0,-4.0,-4.0
79,260706_224000.wav,-2.0,-3.0,-3.0,-12.0,-11.0,-11.0
80,260706_224000.wav,19.0,19.0,19.0,17.0,17.0,17.0
81,260706_224000.wav,24.0,22.0,21.0,7.0,7.0,7.0
82,260706_224000.wav,17.0,16.0,16.0,13.0,13.0,13.0
83,260706_224000.wav,0.0,-1.0,-1.0,-2.0,-1.0,-2.0
84,260706_224000.wav,20.0,19.0,18.0,12.0,12.0,12.0
85,260706_224000.wav,4.0,4.0,4.0,-1.0,-1.0,-1.0
86,260706_224000.wav,6.0,6.0,6.0,-2.0,-2.0,-2.0
87,260706_224000.wav,-3.0,-4.0,-4.0,-5.0,-6.0,-5.0
88,260706_224000.wav,1.0,0.0,0.0,-3.0,-3.0,-3.0
89,260706_224145.wav,-9.0,-10.0,-9.0,-15.0,-15.0,-16.0
90,260706_224145.wav,8.0,9.0,8.0,3.0,3.0,3.0
91,260706_224145.wav,15.0,14.0,15.0,12.0,12.0,12.0
92,260706_224145.wav,1.0,1.0,1.0,-3.0,-3.0,-3.0
93,260706_224145.wav,26.0,26.0,26.0,5.0,5.0,5.0
94,260706_224145.wav,5.0,5.0,5.0,-3.0,-3.0,-4.0
95,260706_224145.wav,13.0,13.0,14.0,6.0,6.0,5.0
96,260706_224145.wav,-8.0,-7.0,-8.0,-12.0,-12.0,-12.0
97,260706_224145.wav,1.0,1.0,0.0,-6.0,-6.0,-6.0
98,260706_224145.wav,6.0,7.0,6.0,1.0,1.0,1.0
99,260706_224145.wav,24.0,24.0,26.0,15.0,15.0,16.0
100,260706_224145.wav,10.0,10.0,10.0,7.0,7.0,7.0
101,260706_224145.wav,-5.0,-5.0,-5.0,-13.0,-13.0,-13.0
102,260706_224145.wav,5.0,5.0,5.0,2.0,2.0,2.0
103,260706_224630.wav,3.0,3.0,2.0,0.0,0.0,0.0
104,260706_224630.wav,0.0,0.0,1.0,1.0,1.0,0.0
105,260706_224630.wav,-3.0,-4.0,-4.0,1.0,1.0,1.0
106,260706_224630.wav,2.0,2.0,2.0,-1.0,0.0,0.0
107,260706_224630.wav,11.0,11.0,10.0,9.0,9.0,8.0
108,260706_224630.wav,14.0,14.0,13.0,2.0,2.0,2.0
109,260706_224630.wav,1.0,1.0,1.0,-5.0,-6.0,-5.0
110,260706_224630.wav,15.0,15.0,15.0,10.0,10.0,10.0
111,260706_224630.wav,2.0,2.0,3.0,-1.0,-1.0,0.0
112,260706_224630.wav,5.0,5.0,4.0,3.0,3.0,4.0
113,260706_224630.wav,3.0,3.0,4.0,0.0,0.0,1.0
114,260706_224630.wav,13.0,14.0,14.0,12.0,12.0,12.0
115,260706_224630.wav,9.0,9.0,9.0,9.0,9.0,9.0
116,260706_224630.wav,7.0,7.0,7.0,4.0,4.0,4.0
117,260706_224630.wav,-4.0,-4.0,-4.0,-8.0,-8.0,-8.0
118,260706_230945.wav,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0
119,260706_230945.wav,13.0,13.0,14.0,6.0,6.0,6.0
120,260706_230945.wav,-13.0,-13.0,-13.0,-15.0,-15.0,-15.0
121,260706_230945.wav,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0
122,260706_230945.wav,-7.0,-7.0,-7.0,-12.0,-12.0,-12.0
123,260706_230945.wav,6.0,7.0,7.0,-1.0,-1.0,-1.0
124,260706_230945.wav,-14.0,-14.0,-14.0,-19.0,-18.0,-18.0
125,260706_230945.wav,8.0,8.0,8.0,7.0,7.0,7.0
126,260706_230945.wav,4.0,4.0,4.0,6.0,6.0,6.0
127,260706_230945.wav,-4.0,-4.0,-4.0,-10.0,-10.0,-10.0
128,260706_230945.wav,1.0,1.0,2.0,-4.0,-4.0,-4.0
129,260706_230945.wav,1.0,1.0,1.0,-2.0,-2.0,-3.0
130,260706_230945.wav,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0
131,260706_230945.wav,10.0,10.0,10.0,8.0,8.0,8.0
132,260706_230945.wav,9.0,9.0,9.0,9.0,9.0,9.0
133,260706_231930.wav,2.0,2.0,2.0,-5.0,-5.0,-5.0
134,260706_231930.wav,7.0,8.0,7.0,9.0,9.0,10.0
135,260706_231930.wav,4.0,5.0,4.0,0.0,0.0,0.0
136,260706_231930.wav,12.0,12.0,12.0,6.0,7.0,7.0
137,260706_231930.wav,11.0,11.0,11.0,6.0,6.0,6.0
138,260706_231930.wav,20.0,18.0,18.0,2.0,2.0,2.0
139,260706_231930.wav,-2.0,-2.0,-2.0,-6.0,-6.0,-6.0
140,260706_231930.wav,22.0,22.0,22.0,20.0,20.0,20.0
141,260706_231930.wav,21.0,20.0,20.0,8.0,8.0,8.0
142,260706_231930.wav,-8.0,-8.0,-8.0,-15.0,-15.0,-15.0
143,260706_231930.wav,4.0,4.0,4.0,-2.0,-2.0,-2.0
144,260706_231930.wav,-7.0,-7.0,-7.0,-13.0,-13.0,-13.0
145,260706_231930.wav,2.0,3.0,2.0,1.0,1.0,1.0
146,260706_231930.wav,-13.0,-13.0,-13.0,-16.0,-16.0,-16.0
147,260706_231930.wav,-4.0,-4.0,-4.0,-8.0,-8.0,-8.0
148,260706_231930.wav,-14.0,-15.0,-15.0,-19.0,-19.0,-19.0
149,260706_231930.wav,-14.0,-14.0,-14.0,-21.0,-21.0,-21.0
150,260706_231930.wav,-6.0,-5.0,-5.0,-6.0,-6.0,-6.0
151,260706_231930.wav,-12.0,-13.0,-12.0,-20.0,-20.0,-20.0
152,260706_233945.wav,0.0,0.0,0.0,-4.0,-4.0,-4.0
153,260706_233945.wav,7.0,7.0,7.0,2.0,2.0,2.0
154,260706_233945.wav,1.0,1.0,0.0,-3.0,-3.0,-3.0
155,260706_233945.wav,8.0,8.0,8.0,5.0,5.0,5.0
156,260706_233945.wav,15.0,14.0,17.0,7.0,7.0,7.0
157,260706_233945.wav,-4.0,-4.0,-4.0,-9.0,-9.0,-9.0
158,260706_233945.wav,-11.0,-11.0,-11.0,-15.0,-15.0,-15.0
159,260706_233945.wav,-12.0,-12.0,-13.0,-19.0,-19.0,-19.0
160,260706_233945.wav,-9.0,-9.0,-9.0,-7.0,-7.0,-7.0
161,260706_233945.wav,13.0,13.0,13.0,10.0,10.0,10.0
162,260706_233945.wav,-8.0,-8.0,-8.0,-13.0,-13.0,-13.0
163,260706_233945.wav,8.0,8.0,8.0,6.0,6.0,6.0
164,260706_233945.wav,-2.0,-2.0,-3.0,-6.0,-6.0,-6.0
165,260706_233945.wav,-7.0,-7.0,-8.0,-10.0,-10.0,-10.0
166,260706_233945.wav,-10.0,-10.0,-10.0,-14.0,-13.0,-14.0
167,260706_233945.wav,3.0,2.0,4.0,-6.0,-6.0,-6.0
168,260707_002700.wav,18.0,18.0,18.0,14.0,14.0,14.0
169,260707_002700.wav,6.0,6.0,6.0,6.0,6.0,6.0
170,260707_002700.wav,-1.0,-1.0,-1.0,-5.0,-5.0,-5.0
171,260707_002700.wav,4.0,4.0,4.0,1.0,2.0,2.0
172,260707_002700.wav,-14.0,-14.0,-14.0,-15.0,-15.0,-15.0
173,260707_002700.wav,0.0,-1.0,-1.0,-10.0,-10.0,-10.0
174,260707_002700.wav,-9.0,-9.0,-9.0,-13.0,-13.0,-13.0
175,260707_002700.wav,-12.0,-13.0,-13.0,-21.0,-21.0,-21.0
176,260707_002700.wav,4.0,4.0,4.0,-1.0,-2.0,-1.0
177,260707_002700.wav,6.0,5.0,5.0,1.0,1.0,1.0
178,260707_002700.wav,21.0,21.0,21.0,17.0,17.0,17.0
179,260707_002700.wav,-4.0,-4.0,-5.0,-8.0,-8.0,-8.0
180,260707_002700.wav,4.0,4.0,4.0,1.0,1.0,1.0
181,260707_002700.wav,0.0,0.0,0.0,-2.0,-3.0,-3.0
182,260707_002700.wav,11.0,11.0,11.0,7.0,8.0,8.0
183,260707_002700.wav,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
184,260707_012245.wav,14.0,14.0,15.0,12.0,12.0,13.0
185,260707_012245.wav,-10.0,-10.0,-10.0,-16.0,-16.0,-15.0
186,260707_012245.wav,-14.0,-14.0,-14.0,-13.0,-13.0,-12.0
187,260707_012245.wav,-5.0,-5.0,-4.0,-8.0,-8.0,-8.0
188,260707_012245.wav,5.0,5.0,6.0,5.0,5.0,6.0
189,260707_012245.wav,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0
190,260707_012245.wav,-13.0,-13.0,-12.0,-14.0,-14.0,-14.0
191,260707_012245.wav,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0
192,260707_012245.wav,2.0,1.0,2.0,-2.0,-2.0,-2.0
193,260707_012245.wav,15.0,14.0,15.0,-15.0,-15.0,-15.0
194,260707_012245.wav,0.0,0.0,0.0,0.0,0.0,0.0
195,260707_012245.wav,16.0,15.0,16.0,7.0,7.0,7.0
196,260707_012245.wav,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
197,260707_012245.wav,0.0,0.0,0.0,-7.0,-7.0,-7.0
198,260707_012245.wav,18.0,17.0,17.0,3.0,3.0,3.0
199,260707_012245.wav,15.0,15.0,15.0,19.0,19.0,19.0
200,260707_012245.wav,-8.0,-8.0,-8.0,-10.0,-10.0,-10.0
201,260707_013500.wav,-5.0,-5.0,-5.0,-7.0,-6.0,-6.0
202,260707_013500.wav,-16.0,-16.0,-16.0,-18.0,-17.0,-17.0
203,260707_013500.wav,-9.0,-8.0,-8.0,-27.0,-28.0,-28.0
204,260707_013500.wav,16.0,17.0,19.0,-1.0,0.0,0.0
205,260707_013500.wav,20.0,21.0,21.0,18.0,19.0,19.0
206,260707_013500.wav,-6.0,-4.0,-5.0,-5.0,-5.0,-5.0
207,260707_013500.wav,-6.0,-6.0,-6.0,-5.0,-5.0,-5.0
208,260707_013500.wav,17.0,17.0,17.0,16.0,16.0,16.0
209,260707_013500.wav,11.0,12.0,12.0,6.0,7.0,7.0
210,260707_013500.wav,-5.0,-4.0,-4.0,-9.0,-8.0,-8.0
211,260707_013500.wav,-4.0,-4.0,-4.0,0.0,0.0,0.0
212,260707_013500.wav,-6.0,-5.0,-6.0,-12.0,-13.0,-13.0
213,260707_013500.wav,-6.0,-4.0,-4.0,-11.0,-12.0,-12.0
214,260707_013500.wav,4.0,5.0,5.0,5.0,4.0,4.0
215,260707_013500.wav,1.0,2.0,2.0,-4.0,-3.0,-3.0
216,260707_013500.wav,-13.0,-12.0,-12.0,-11.0,-11.0,-10.0
217,260707_013500.wav,11.0,11.0,11.0,9.0,7.0,7.0
218,260707_013500.wav,-3.0,-2.0,-2.0,-11.0,-10.0,-10.0
219,260707_013500.wav,-1.0,0.0,0.0,-7.0,-7.0,-7.0
220,260707_013500.wav,-6.0,-5.0,-5.0,-8.0,-7.0,-7.0
221,260707_014045.wav,14.0,14.0,14.0,14.0,14.0,14.0
222,260707_014045.wav,-2.0,-2.0,-2.0,-6.0,-6.0,-6.0
223,260707_014045.wav,-3.0,-3.0,-2.0,-5.0,-5.0,-5.0
224,260707_014045.wav,16.0,14.0,14.0,11.0,11.0,11.0
225,260707_014045.wav,-8.0,-8.0,-8.0,-11.0,-11.0,-10.0
226,260707_014045.wav,-11.0,-11.0,-11.0,-12.0,-12.0,-12.0
227,260707_014045.wav,10.0,9.0,9.0,6.0,5.0,6.0
228,260707_014045.wav,-7.0,-6.0,-6.0,-9.0,-9.0,-9.0
229,260707_014045.wav,-2.0,-3.0,-3.0,-6.0,-6.0,-6.0
230,260707_014045.wav,-9.0,-10.0,-9.0,-11.0,-11.0,-11.0
231,260707_014045.wav,-12.0,-13.0,-12.0,-15.0,-15.0,-14.0
232,260707_014045.wav,-17.0,-16.0,-16.0,-13.0,-13.0,-13.0
233,260707_014045.wav,-14.0,-14.0,-14.0,-18.0,-18.0,-18.0
234,260707_014045.wav,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
235,260707_014045.wav,-2.0,-2.0,-2.0,-5.0,-5.0,-5.0
236,260707_014045.wav,7.0,8.0,8.0,6.0,6.0,6.0
237,260707_014045.wav,-9.0,-9.0,-9.0,-10.0,-10.0,-10.0
238,260707_014045.wav,-7.0,-8.0,-7.0,-10.0,-11.0,-10.0
239,260707_014045.wav,-10.0,-11.0,-10.0,-12.0,-12.0,-12.0
240,260707_014045.wav,19.0,13.0,15.0,1.0,1.0,1.0
241,260707_014045.wav,-14.0,-14.0,-14.0,-13.0,-13.0,-12.0
242,260707_014045.wav,7.0,7.0,8.0,2.0,2.0,3.0
243,260707_014045.wav,-6.0,-6.0,-6.0,-8.0,-8.0,-7.0
244,260707_014045.wav,5.0,6.0,6.0,-1.0,-1.0,0.0
245,260707_014045.wav,5.0,6.0,6.0,4.0,4.0,4.0
246,260707_025130.wav,-8.0,-8.0,-7.0,-9.0,-8.0,-8.0
247,260707_025130.wav,-3.0,-4.0,-4.0,-6.0,-6.0,-6.0
248,260707_025130.wav,3.0,3.0,3.0,-6.0,-6.0,-6.0
249,260707_025130.wav,-17.0,-17.0,-17.0,-18.0,-19.0,-18.0
250,260707_025130.wav,-8.0,-8.0,-7.0,-13.0,-12.0,-12.0
251,260707_025130.wav,-15.0,-15.0,-15.0,-14.0,-14.0,-13.0
252,260707_025130.wav,8.0,8.0,9.0,3.0,3.0,3.0
253,260707_025130.wav,-9.0,-9.0,-9.0,-12.0,-12.0,-11.0
254,260707_025130.wav,-9.0,-9.0,-9.0,-14.0,-14.0,-14.0
255,260707_025130.wav,-12.0,-12.0,-12.0,-12.0,-12.0,-11.0
256,260707_025130.wav,-16.0,-15.0,-16.0,-18.0,-18.0,-18.0
257,260707_025130.wav,-7.0,-8.0,-8.0,-17.0,-17.0,-18.0
258,260707_025130.wav,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0
